,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Award,MeanPrice,USDPrice,Country
0,Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany",Wolfsburg,225,225,EUR,Creative,3 MICHELIN Stars,225.0,249.7725, Germany
1,The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany",Hamburg,230,230,EUR,Creative,3 MICHELIN Stars,230.0,255.323, Germany
2,Restaurant Überfahrt Christian Jürgens,"Überfahrtstraße 10, Rottach-Egern, 83700, Germany",Rottach-Egern,259,319,EUR,Creative,3 MICHELIN Stars,289.0,320.8189, Germany
3,Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany",Perl,205,295,EUR,Creative,3 MICHELIN Stars,250.0,277.525, Germany
4,Rutz,"Chausseestraße 8, Berlin, 10115, Germany",Berlin,198,245,EUR,Creative,3 MICHELIN Stars,221.5,245.88715, Germany
5,Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",Baiersbronn,150,335,EUR,French,3 MICHELIN Stars,242.5,269.19925, Germany
6,temporaire - Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany",Baiersbronn,215,265,EUR,French,3 MICHELIN Stars,240.0,266.424, Germany
7,schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany",Piesport,115,178,EUR,French,3 MICHELIN Stars,146.5,162.62965, Germany
8,Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",Dreis,225,249,EUR,French,3 MICHELIN Stars,237.0,263.0937, Germany
9,L'Enclume,"Cavendish Street, Cartmel, LA11 6PZ, United Kingdom",Cartmel,79,175,GBP,Creative,3 MICHELIN Stars,127.0,166.656067143448, United Kingdom
10,Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",Bray,275,375,GBP,Creative,3 MICHELIN Stars,325.0,426.482061587564, United Kingdom
11,Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",Bray,170,188,GBP,French,3 MICHELIN Stars,179.0,234.893196997459, United Kingdom
12,Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, London, SW3 4HP, United Kingdom",London,120,220,GBP,French,3 MICHELIN Stars,170.0,223.082924522726, United Kingdom
13,Hélène Darroze at The Connaught,"Carlos Place, London, W1K 2AL, United Kingdom",London,85,185,GBP,Modern,3 MICHELIN Stars,135.0,177.154087120988, United Kingdom
14,CORE by Clare Smyth,"92 Kensington Park Road, London, W11 2PN, United Kingdom",London,125,195,GBP,British,3 MICHELIN Stars,160.0,209.960399550801, United Kingdom
15,Sketch (The Lecture Room & Library),"9 Conduit Street, London, W1S 2XG, United Kingdom",London,125,250,GBP,French,3 MICHELIN Stars,187.5,246.047343223595, United Kingdom
16,Alain Ducasse at The Dorchester,"Park Lane, London, W1K 1QA, United Kingdom",London,95,195,GBP,French,3 MICHELIN Stars,145.0,190.276612092913, United Kingdom
17,Amador,"Grinzinger Straße 86, Vienna, 1190, Austria",Vienna,265,265,EUR,Creative,3 MICHELIN Stars,265.0,294.1765, Austria
18,Xin Rong Ji (Xinyuan South Road),"8 Xinyuan South Road, Beijing, China Mainland",Beijing,1000,2000,CNY,Chinese,3 MICHELIN Stars,1500.0,236.516909790776, China Mainland
19,King's Joy,"2 Wudaoying Hutong, Beijing, China Mainland",Beijing,699,1399,CNY,Vegetarian,3 MICHELIN Stars,1049.0,165.404158913683, China Mainland
20,Jade Dragon,"Estrada do Istmo, Macau",Macau,880,2000,HKD,Cantonese,3 MICHELIN Stars,1440.0,183.914033917025, Macau
21,Robuchon au Dôme,"Avenida de Lisboa, Macau",Macau,988,3500,HKD,French,3 MICHELIN Stars,2244.0,286.599369520698, Macau
22,The Eight,"Avenida de Lisboa, Macau",Macau,2800,3000,HKD,Cantonese,3 MICHELIN Stars,2900.0,370.382429416231, Macau
23,8 1/2 Otto e Mezzo - Bombana,"18 Chater Road, Hong Kong",Hong Kong,700,2080,HKD,Italian,3 MICHELIN Stars,1390.0,177.528129961573, Hong Kong
24,T'ang Court,"8 Peking Road, Hong Kong",Hong Kong,1400,1830,HKD,Cantonese,3 MICHELIN Stars,1615.0,206.264697761108, Hong Kong
25,Sushi Shikon,"15 Queen's Road Central, Hong Kong",Hong Kong,2000,3500,HKD,Sushi,3 MICHELIN Stars,2750.0,351.224717549875, Hong Kong
26,Caprice,"8 Finance Street, Hong Kong",Hong Kong,745,2600,HKD,French,3 MICHELIN Stars,1672.5,213.608487309878, Hong Kong
27,Forum,"255-257 Gloucester Road, Hong Kong",Hong Kong,2000,2000,HKD,Cantonese,3 MICHELIN Stars,2000.0,255.436158218091, Hong Kong
28,Lung King Heen,"8 Finance Street, Hong Kong",Hong Kong,760,2980,HKD,Cantonese,3 MICHELIN Stars,1870.0,238.832807933915, Hong Kong
29,L'Atelier de Joël Robuchon,"15 Queen's Road Central, Hong Kong",Hong Kong,680,2600,HKD,French,3 MICHELIN Stars,1640.0,209.457649738834, Hong Kong
30,Azurmendi,"Legina Auzoa, Larrabetzu, 48195, Spain",Larrabetzu,250,250,EUR,Creative,3 MICHELIN Stars,250.0,277.525, Spain
31,Martín Berasategui,"Loidi 4, Lasarte - Oria, 20160, Spain",Lasarte - Oria,220,290,EUR,Creative,3 MICHELIN Stars,255.0,283.0755, Spain
32,Aponiente,"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain",El Puerto de Santa María,215,215,EUR,Creative,3 MICHELIN Stars,215.0,238.6715, Spain
33,El Celler de Can Roca,"Can Sunyer 48, Girona, 17007, Spain",Girona,190,350,EUR,Creative,3 MICHELIN Stars,270.0,299.727, Spain
34,Quique Dacosta,"Rascassa 1, Dénia, 03700, Spain",Dénia,210,210,EUR,Creative,3 MICHELIN Stars,210.0,233.121, Spain
35,Cenador de Amós,"Plaza del Sol, Villaverde de Pontones, 39793, Spain",Villaverde de Pontones,197,235,EUR,Modern,3 MICHELIN Stars,216.0,239.7816, Spain
36,DiverXO,"Padre Damián 23, Madrid, 28036, Spain",Madrid,365,365,EUR,Creative,3 MICHELIN Stars,365.0,405.1865, Spain
37,Arzak,"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain",Donostia / San Sebastián,230,260,EUR,Creative,3 MICHELIN Stars,245.0,271.9745, Spain
38,Akelaŕe,"Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain",Donostia / San Sebastián,240,240,EUR,Creative,3 MICHELIN Stars,240.0,266.424, Spain
39,Lasarte,"Mallorca 259, Barcelona, 08008, Spain",Barcelona,175,250,EUR,Creative,3 MICHELIN Stars,212.5,235.89625, Spain
40,ABaC,"Avenida del Tibidabo 1, Barcelona, 08022, Spain",Barcelona,250,250,EUR,Creative,3 MICHELIN Stars,250.0,277.525, Spain
41,L'OSIER,"7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Tokyo,13000,44000,JPY,French,3 MICHELIN Stars,28500.0,234.05970259673, Japan
42,Sazenka,"4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan",Tokyo,34000,73000,JPY,Chinese,3 MICHELIN Stars,53500.0,439.37523119035296, Japan
43,Kagurazaka Ishikawa,"5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Tokyo,43000,43000,JPY,Japanese,3 MICHELIN Stars,43000.0,353.142709181031, Japan
44,Kanda,"1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan",Tokyo,37000,43000,JPY,Japanese,3 MICHELIN Stars,40000.0,328.504845749797, Japan
45,L'Effervescence,"2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Tokyo,34000,34000,JPY,French,3 MICHELIN Stars,34000.0,279.229118887327, Japan
46,Quintessence,"6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan",Tokyo,35000,35000,JPY,French,3 MICHELIN Stars,35000.0,287.441740031072, Japan
47,Azabu Kadowaki,"2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan",Tokyo,26000,70000,JPY,Japanese,3 MICHELIN Stars,48000.0,394.205814899756, Japan
48,Joël Robuchon,"1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan",Tokyo,23000,54000,JPY,French,3 MICHELIN Stars,38500.0,316.185914034179, Japan
49,RyuGin,"1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan",Tokyo,49000,49000,JPY,Japanese,3 MICHELIN Stars,49000.0,402.41843604350095, Japan
50,Sushi Yoshitake,"7-8-13 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Tokyo,38000,38000,JPY,Sushi,3 MICHELIN Stars,38000.0,312.079603462307, Japan
51,Kohaku,"3-4 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Tokyo,43000,43000,JPY,Japanese,3 MICHELIN Stars,43000.0,353.142709181031, Japan
52,Makimura,"3-11-5 Minamioi, Shinagawa-ku, Tokyo, 140-0013, Japan",Tokyo,27000,27000,JPY,Japanese,3 MICHELIN Stars,27000.0,221.740770881113, Japan
53,Gaon,"M Floor Horim Art Center, 317 Dosan-daero, Gangnam-gu, SEOUL, South Korea",SEOUL,130000,260000,KRW,Korean,3 MICHELIN Stars,195000.0,160.660768756912, South Korea
54,La Yeon,"23F Shilla Hotel, 249 Dongho-ro, Jung-gu, SEOUL, South Korea",SEOUL,109000,280000,KRW,Korean,3 MICHELIN Stars,194500.0,160.248818067791, South Korea
55,Dal Pescatore,"località Runate 15, Runate, 46013, Italy",Runate,150,300,EUR,Italian,3 MICHELIN Stars,225.0,249.7725, Italy
56,Le Calandre,"via Liguria 1, località Sarmeola, Rubano, 35030, Italy",Rubano,150,225,EUR,Creative,3 MICHELIN Stars,187.5,208.14375, Italy
57,Reale,"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy",Castel di Sangro,170,220,EUR,Creative,3 MICHELIN Stars,195.0,216.4695, Italy
58,Osteria Francescana,"via Stella 22, Modena, 41121, Italy",Modena,320,320,EUR,Creative,3 MICHELIN Stars,320.0,355.232, Italy
59,Da Vittorio,"via Cantalupa 17, Brusaporto, 24060, Italy",Brusaporto,220,380,EUR,Modern,3 MICHELIN Stars,300.0,333.03, Italy
60,St. Hubertus,"strada Micura de Rue 20, San Cassiano, 39030, Italy",San Cassiano,280,310,EUR,Alpine,3 MICHELIN Stars,295.0,327.4795, Italy
61,Enrico Bartolini al Mudec,"via Tortona 56, Milan, 20123, Italy",Milan,200,300,EUR,Innovative,3 MICHELIN Stars,250.0,277.525, Italy
62,Enoteca Pinchiorri,"via Ghibellina 87, Florence, 50122, Italy",Florence,150,345,EUR,Modern,3 MICHELIN Stars,247.5,274.74975, Italy
63,Piazza Duomo,"vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy",Alba,270,300,EUR,Creative,3 MICHELIN Stars,285.0,316.3785, Italy
64,Uliassi,"banchina di Levante 6, Senigallia, 60019, Italy",Senigallia,200,220,EUR,Seafood,3 MICHELIN Stars,210.0,233.121, Italy
65,La Pergola,"via Cadlolo 101, Rome, 00136, Italy",Rome,250,290,EUR,Modern,3 MICHELIN Stars,270.0,299.727, Italy
66,Taian Table,"No.161, Lane 465, Zhenning Road, Shanghai, China Mainland",Shanghai,1858,2188,CNY,Innovative,3 MICHELIN Stars,2023.0,318.982472337827, China Mainland
67,Ultraviolet by Paul Pairet,"18 Zhongshan Dong Yi Road, Shanghai, China Mainland",Shanghai,4000,8888,CNY,Innovative,3 MICHELIN Stars,6444.0,1016.07664446117, China Mainland
68,Kashiwaya,"2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan",Osaka,13000,43000,JPY,Japanese,3 MICHELIN Stars,28000.0,229.953392024858, Japan
69,HAJIME,"1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan",Osaka,40000,54000,JPY,Innovative,3 MICHELIN Stars,47000.0,385.993193756011, Japan
70,Taian,"1-21-2 Shimanochi, Chuo-ku, Osaka, 542-0082, Japan",Osaka,20000,20000,JPY,Japanese,3 MICHELIN Stars,20000.0,164.252422874898, Japan
71,Isshisoden Nakamura,"136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan",Kyoto,26000,38000,JPY,Japanese,3 MICHELIN Stars,32000.0,262.803876599837, Japan
72,Kikunoi Honten,"459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan",Kyoto,17000,64000,JPY,Japanese,3 MICHELIN Stars,40500.0,332.611156321669, Japan
73,Gion Sasaki,"566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan",Kyoto,8000,37000,JPY,Japanese,3 MICHELIN Stars,22500.0,184.783975734261, Japan
74,Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan",Kyoto,50000,50000,JPY,Japanese,3 MICHELIN Stars,50000.0,410.631057187246, Japan
75,Hyotei,"35 Nanzenji-kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan",Kyoto,26000,64000,JPY,Japanese,3 MICHELIN Stars,45000.0,369.567951468521, Japan
76,Maeda,"570-118 Giommachi-minamigawa, Higashiyama-ku, Kyoto, 605-0074, Japan",Kyoto,49000,49000,JPY,Japanese,3 MICHELIN Stars,49000.0,402.41843604350095, Japan
77,TheFrenchLaundry,"6640 Washington St., Yountville, 94599, United States",Yountville,350,450,USD,French,3 MICHELIN Stars,400.0,400.0, United States
78,SingleThread,"131 North St., Healdsburg, 95448, United States",Healdsburg,375,375,USD,Californian,3 MICHELIN Stars,375.0,375.0, United States
79,Manresa,"320 Village Ln., Los Gatos, 95030, United States",Los Gatos,325,325,USD,Californian,3 MICHELIN Stars,325.0,325.0, United States
80,Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, United States",San Francisco,298,298,USD,French,3 MICHELIN Stars,298.0,298.0, United States
81,Benu,"22 Hawthorne St., San Francisco, 94105, United States",San Francisco,350,350,USD,Asian,3 MICHELIN Stars,350.0,350.0, United States
82,Quince,"470 Pacific Ave., San Francisco, 94133, United States",San Francisco,360,360,USD,Californian,3 MICHELIN Stars,360.0,360.0, United States
83,Frantzén,"Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden",Stockholm,3800,3800,SEK,Modern,3 MICHELIN Stars,3800.0,408.085518041985, Sweden
84,Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway",Oslo,3500,3500,NOK,Modern,3 MICHELIN Stars,3500.0,400.097827206261, Norway
85,Geranium,"Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark",Copenhagen,2800,2800,DKK,Creative,3 MICHELIN Stars,2800.0,417.897524839, Denmark
86,noma,"Refshalevej 96, Copenhagen, 1432 K, Denmark",Copenhagen,2800,2800,DKK,Creative,3 MICHELIN Stars,2800.0,417.897524839, Denmark
87,Odette,"1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore",Singapore,298,378,SGD,French,3 MICHELIN Stars,338.0,249.676470588235, Singapore
88,Les Amis,"1 Scotts Road, 228208, Singapore",Singapore,225,510,SGD,French,3 MICHELIN Stars,367.5,271.467760180996, Singapore
89,Zén,"41 Bukit Pasoh Road, 089855, Singapore",Singapore,450,450,SGD,European,3 MICHELIN Stars,450.0,332.409502262444, Singapore
90,Le Palais,"3, Section 1, Chengde Road, Datong District, Taipei, 103, Taipei & Taichung",Taipei,5000,5000,THB,Cantonese,3 MICHELIN Stars,5000.0,150.375226897131, Taipei & Taichung
91,Eleven Madison Park,"11 Madison Ave., New York, 10010, United States",New York,125,285,USD,Contemporary,3 MICHELIN Stars,205.0,205.0, United States
92,Per Se,"10 Columbus Circle, New York, 10019, United States",New York,355,355,USD,French,3 MICHELIN Stars,355.0,355.0, United States
93,Masa,"10 Columbus Circle, New York, 10019, United States",New York,595,595,USD,Japanese,3 MICHELIN Stars,595.0,595.0, United States
94,Le Bernardin,"155 W. 51st St., New York, 10019, United States",New York,93,228,USD,Seafood,3 MICHELIN Stars,160.5,160.5, United States
95,Chef's Table at Brooklyn Fare,"431 W. 37th St., New York, 10018, United States",New York,395,395,USD,Contemporary,3 MICHELIN Stars,395.0,395.0, United States
96,Alinea,"1723 N. Halsted St., Chicago, 60614, United States",Chicago,210,365,USD,Contemporary,3 MICHELIN Stars,287.5,287.5, United States
97,The Inn at Little Washington,"309 Middle St., Washington, 22747, United States",Washington,238,238,USD,American,3 MICHELIN Stars,238.0,238.0, United States
98,Inter Scaldes,"Zandweg 2, Kruiningen, 4416 NA, Netherlands",Kruiningen,165,380,EUR,Modern,3 MICHELIN Stars,272.5,302.50225, Netherlands
99,De Librije,"Spinhuisplein 1, Zwolle, 8011 ZZ, Netherlands",Zwolle,232,232,EUR,Modern,3 MICHELIN Stars,232.0,257.5432, Netherlands
100,Restaurant de l'Hôtel de Ville,"Rue d'Yverdon 1, Crissier, 1023, Switzerland",Crissier,215,390,CHF,French,3 MICHELIN Stars,302.5,327.072416479985, Switzerland
101,Cheval Blanc by Peter Knogl,"Blumenrain 8, Basel, 4001, Switzerland",Basel,195,270,CHF,French,3 MICHELIN Stars,232.5,251.386237459823, Switzerland
102,Schloss Schauenstein,"Schlossgass 77, Fürstenau, 7414, Switzerland",Fürstenau,216,330,CHF,Country cooking,3 MICHELIN Stars,273.0,295.176098178631, Switzerland
103,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Monaco, 98000, France",Monaco,190,380,EUR,Mediterranean,3 MICHELIN Stars,285.0,316.3785, France
104,Assiette Champenoise,"40 avenue Paul-Vaillant-Couturier, à Tinqueux, Reims, 51430, France",Reims,145,335,EUR,Creative,3 MICHELIN Stars,240.0,266.424, France
105,Les Prés d'Eugénie - Michel Guérard,"Place de l'Impératrice, Eugénie-les-Bains, 40320, France",Eugénie-les-Bains,265,295,EUR,Classic,3 MICHELIN Stars,280.0,310.828, France
106,Georges Blanc,"Place du Marché, Vonnas, 01540, France",Vonnas,250,320,EUR,Classic,3 MICHELIN Stars,285.0,316.3785, France
107,La Vague d'Or - Cheval Blanc St-Tropez,"Plage de la Bouillabaisse, Saint-Tropez, 83990, France",Saint-Tropez,310,375,EUR,Creative,3 MICHELIN Stars,342.5,380.20925, France
108,Mirazur,"30 avenue Aristide-Briand, Menton, 06500, France",Menton,380,380,EUR,Creative,3 MICHELIN Stars,380.0,421.838, France
109,René et Maxime Meilleur,"Hameau de  Saint-Marcel, Saint-Martin-de-Belleville, 73440, France",Saint-Martin-de-Belleville,239,389,EUR,Creative,3 MICHELIN Stars,314.0,348.5714, France
110,Alléno Paris au Pavillon Ledoyen,"8 avenue Dutuit, Paris, 75008, France",Paris,280,395,EUR,Creative,3 MICHELIN Stars,337.5,374.65875, France
111,Le 1947 - Cheval Blanc,"Le Jardin Alpin, Courchevel 1850, Courchevel, 73120, France",Courchevel,355,395,EUR,Creative,3 MICHELIN Stars,375.0,416.2875, France
112,AM par Alexandre Mazzia,"9 rue François-Rocca, Marseille, 13008, France",Marseille,175,385,EUR,Creative,3 MICHELIN Stars,280.0,310.828, France
113,Pic,"285 avenue Victor-Hugo, Valence, 26000, France",Valence,350,350,EUR,Creative,3 MICHELIN Stars,350.0,388.535, France
114,Troisgros - Le Bois sans Feuilles,"728 route de Villerest, Ouches, 42155, France",Ouches,130,330,EUR,Creative,3 MICHELIN Stars,230.0,255.323, France
115,Pierre Gagnaire,"6 rue Balzac, Paris, 75008, France",Paris,120,400,EUR,Creative,3 MICHELIN Stars,260.0,288.626, France
116,Le Pré Catelan,"Route de Suresnes - bois de Boulogne, Paris, 75016, France",Paris,150,330,EUR,Creative,3 MICHELIN Stars,240.0,266.424, France
117,L'Ambroisie,"9 place des Vosges, Paris, 75004, France",Paris,330,330,EUR,Classic,3 MICHELIN Stars,330.0,366.333, France
118,Épicure,"Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France",Paris,310,380,EUR,Modern,3 MICHELIN Stars,345.0,382.9845, France
119,Christophe Bacquié,"3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, France",Le Castellet,260,295,EUR,Modern,3 MICHELIN Stars,277.5,308.05275, France
120,Maison Lameloise,"36 place d'Armes, Chagny, 71150, France",Chagny,85,260,EUR,Modern,3 MICHELIN Stars,172.5,191.49225, France
121,Flocons de Sel,"1775 route du Leutaz, Le Leutaz, Megève, 74120, France",Megève,210,280,EUR,Creative,3 MICHELIN Stars,245.0,271.9745, France
122,Le Cinq,"Four Seasons George V, 31 avenue George-V, Paris, 75008, France",Paris,380,380,EUR,Modern,3 MICHELIN Stars,380.0,421.838, France
123,Guy Savoy,"11 quai de Conti, Paris, 75006, France",Paris,250,530,EUR,Creative,3 MICHELIN Stars,390.0,432.939, France
124,Auberge du Vieux Puits,"5 avenue Saint-Victor, Fontjoncouse, 11360, France",Fontjoncouse,195,225,EUR,Creative,3 MICHELIN Stars,210.0,233.121, France
125,Arpège,"84 rue de Varenne, Paris, 75007, France",Paris,185,460,EUR,Creative,3 MICHELIN Stars,322.5,358.00725, France
126,Kei,"5 rue du Coq-Héron, Paris, 75001, France",Paris,85,340,EUR,Modern,3 MICHELIN Stars,212.5,235.89625, France
127,L'Oustau de Baumanière,"Mas de Baumanière, Les Baux-de-Provence, 13520, France",Les Baux-de-Provence,165,240,EUR,Modern,3 MICHELIN Stars,202.5,224.79525, France
128,Christopher Coutanceau,"Plage de la Concurrence, La Rochelle, 17000, France",La Rochelle,190,265,EUR,Seafood,3 MICHELIN Stars,227.5,252.54775, France
129,Le Petit Nice,"Anse de Maldormé, Marseille, 13007, France",Marseille,180,430,EUR,Seafood,3 MICHELIN Stars,305.0,338.5805, France
130,Régis et Jacques Marcon,"Larsiallas, Saint-Bonnet-le-Froid, 43290, France",Saint-Bonnet-le-Froid,180,240,EUR,Creative,3 MICHELIN Stars,210.0,233.121, France
131,Le Clos des Sens,"13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France",Annecy,148,238,EUR,Creative,3 MICHELIN Stars,193.0,214.2493, France
132,Zilte,"Hanzestedenplaats 5, Antwerpen, 2000, Belgium",Antwerpen,195,330,EUR,Creative,3 MICHELIN Stars,262.5,291.40125, Belgium
133,Hof van Cleve,"Riemegemstraat 1, Kruishoutem, 9770, Belgium",Kruishoutem,295,530,EUR,Creative,3 MICHELIN Stars,412.5,457.91625, Belgium
134,Ösch Noir,"Golfplatz 1, Donaueschingen, 78166, Germany",Donaueschingen,145,195,EUR,Modern,2 MICHELIN Stars,170.0,188.717, Germany
135,ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany",Grassau,150,205,EUR,Creative,2 MICHELIN Stars,177.5,197.04275, Germany
136,Luce d'Oro,"Elmau 2, Krün, 82493, Germany",Krün,189,229,EUR,Modern,2 MICHELIN Stars,209.0,232.0109, Germany
137,Tohru in der Schreiberei,"Burgstraße 5, Munich, 80331, Germany",Munich,245,245,EUR,Japanese,2 MICHELIN Stars,245.0,271.9745, Germany
138,OPUS V,"O5, 9-12, Mannheim, 68161, Germany",Mannheim,109,185,EUR,Modern,2 MICHELIN Stars,147.0,163.1847, Germany
139,Lorenz Adlon Esszimmer,"Unter den Linden 77, Berlin, 10117, Germany",Berlin,135,250,EUR,Creative,2 MICHELIN Stars,192.5,213.69425, Germany
140,Falco,"Gerberstraße 15, Leipzig, 04105, Germany",Leipzig,99,262,EUR,Creative,2 MICHELIN Stars,180.5,200.37305, Germany
141,Söl'ring Hof,"Am Sandwall 1, Rantum, 25980, Germany",Rantum,214,284,EUR,Country cooking,2 MICHELIN Stars,249.0,276.4149, Germany
142,Obendorfers Eisvogel,"Hofenstetten 43, Neunburg vorm Wald, 92431, Germany",Neunburg vorm Wald,145,211,EUR,Creative,2 MICHELIN Stars,178.0,197.5978, Germany
143,etz,"Bindergasse 22, Nuremberg, 90402, Germany",Nuremberg,210,210,EUR,Creative,2 MICHELIN Stars,210.0,233.121, Germany
144,Steinheuers Restaurant Zur Alten Post,"Landskroner Straße 110, Bad Neuenahr-Ahrweiler, 53474, Germany",Bad Neuenahr-Ahrweiler,155,195,EUR,French,2 MICHELIN Stars,175.0,194.2675, Germany
145,Restaurant Heinz Winkler,"Kirchplatz 1, Aschau im Chiemgau, 83229, Germany",Aschau im Chiemgau,105,210,EUR,French,2 MICHELIN Stars,157.5,174.84075, Germany
146,Haerlin,"Neuer Jungfernstieg 9, Hamburg, 20354, Germany",Hamburg,190,250,EUR,French,2 MICHELIN Stars,220.0,244.222, Germany
147,Vendôme,"Kadettenstraße, Bergisch Gladbach, 51429, Germany",Bergisch Gladbach,240,285,EUR,French,2 MICHELIN Stars,262.5,291.40125, Germany
148,Speisemeisterei,"Schloss Hohenheim 1B, Stuttgart, 70599, Germany",Stuttgart,149,189,EUR,International,2 MICHELIN Stars,169.0,187.6069, Germany
149,Tim Raue,"Rudi-Dutschke-Straße 26, Berlin, 10969, Germany",Berlin,88,248,EUR,Asian,2 MICHELIN Stars,168.0,186.4968, Germany
150,CODA Dessert Dining,"Friedelstraße 47, Berlin, 12047, Germany",Berlin,98,165,EUR,Creative,2 MICHELIN Stars,131.5,145.97815, Germany
151,Rosin,"Hervester Straße 18, Dorsten, 46286, Germany",Dorsten,99,159,EUR,Creative,2 MICHELIN Stars,129.0,143.2029, Germany
152,Jante,"Marienstraße 116, Hanover, 30171, Germany",Hanover,145,160,EUR,Creative,2 MICHELIN Stars,152.5,169.29025, Germany
153,AUGUST,"Johannes-Haag-Straße 14, Augsburg, 86153, Germany",Augsburg,179,210,EUR,Creative,2 MICHELIN Stars,194.5,215.91445, Germany
154,Le Pavillon,"Dollenberg 3, Bad Peterstal, 77740, Germany",Bad Peterstal,143,189,EUR,French,2 MICHELIN Stars,166.0,184.2766, Germany
155,Le Moissonnier,"Krefelder Straße 25, Cologne, 50670, Germany",Cologne,110,165,EUR,French,2 MICHELIN Stars,137.5,152.63875, Germany
156,LOUIS restaurant,"Prälat-Subtil-Ring 22, Saarlouis, 66740, Germany",Saarlouis,89,176,EUR,French,2 MICHELIN Stars,132.5,147.08825, Germany
157,100/200 Kitchen,"Brandshofer Deich 68, Hamburg, 20539, Germany",Hamburg,144,144,EUR,Creative,2 MICHELIN Stars,144.0,159.8544, Germany
158,bianc,"Am Sandtorkai 50, Hamburg, 20457, Germany",Hamburg,190,190,EUR,Mediterranean,2 MICHELIN Stars,190.0,210.919, Germany
159,Ox & Klee,"Im Zollhafen 18, Cologne, 50678, Germany",Cologne,145,230,EUR,Creative,2 MICHELIN Stars,187.5,208.14375, Germany
160,Ophelia,"Seestraße 25, Constance, 78464, Germany",Constance,190,240,EUR,French,2 MICHELIN Stars,215.0,238.6715, Germany
161,EssZimmer,"Am Olympiapark 1, Munich, 80807, Germany",Munich,180,275,EUR,French,2 MICHELIN Stars,227.5,252.54775, Germany
162,Horváth,"Paul-Lincke-Ufer 44a, Berlin, 10999, Germany",Berlin,145,185,EUR,Creative,2 MICHELIN Stars,165.0,183.1665, Germany
163,Tantris,"Johann-Fichte-Straße 7, Munich, 80805, Germany",Munich,150,295,EUR,French,2 MICHELIN Stars,222.5,246.99725, Germany
164,Gustav,"Reuterweg 57, Frankfurt on the Main, 60323, Germany",Frankfurt on the Main,120,165,EUR,Creative,2 MICHELIN Stars,142.5,158.18925, Germany
165,Goldberg,"Guntram-Palm-Platz 1, Fellbach, 70734, Germany",Fellbach,130,190,EUR,International,2 MICHELIN Stars,160.0,177.616, Germany
166,Alexander Herrmann by Tobias Bätz,"Marktplatz 11, Wirsberg, 95339, Germany",Wirsberg,189,219,EUR,Creative,2 MICHELIN Stars,204.0,226.4604, Germany
