,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Award,MeanPrice,USDPrice,Country
2986,La Barbacane,"Place Auguste-Pierre-Pont, Carcassonne, 11000, France",Carcassonne,45,130,EUR,Classic,1 MICHELIN Star,87.5,97.13375, France
2987,Colette,"Hôtel Sezz, 151  route des Salins, Saint-Tropez, 83990, France",Saint-Tropez,106,146,EUR,Modern,1 MICHELIN Star,126.0,139.8726, France
2988,Le Charlemagne,"1 route des Vergelesses, Pernand-Vergelesses, 21420, France",Pernand-Vergelesses,70,100,EUR,Creative,1 MICHELIN Star,85.0,94.3585, France
2989,La Table d'Uzès,"18 rue du Docteur-Blanchard, Uzès, 30700, France",Uzès,72,125,EUR,Modern,1 MICHELIN Star,98.5,109.34485, France
2990,Soléna,"5 rue Chauffour, Bordeaux, 33000, France",Bordeaux,39,98,EUR,Modern,1 MICHELIN Star,68.5,76.04185, France
2991,Albert 1er,"Hameau Albert 1er, 38 route du Bouchet, Chamonix-Mont-Blanc, 74400, France",Chamonix-Mont-Blanc,85,176,EUR,Classic,1 MICHELIN Star,130.5,144.86805, France
2992,Pollen,"18 rue Joseph-Vernet, Avignon, 84000, France",Avignon,35,80,EUR,Creative,1 MICHELIN Star,57.5,63.83075, France
2993,L'Hysope,"25 rue de l'Aurore, La Jarrie, 17220, France",La Jarrie,53,145,EUR,Creative,1 MICHELIN Star,99.0,109.8999, France
2994,Le Jardin de Berne,"Chemin des Imberts, Lorgues, 83510, France",Lorgues,120,260,EUR,Modern,1 MICHELIN Star,190.0,210.919, France
2995,La Table - Hôtel Clarance,"32 rue de la Barre, Lille, 59000, France",Lille,55,115,EUR,Modern,1 MICHELIN Star,85.0,94.3585, France
2996,La Table des Merville,"3 place Pierre-Richard, Castanet-Tolosan, 31320, France",Castanet-Tolosan,35,110,EUR,Modern,1 MICHELIN Star,72.5,80.48225, France
2997,La Table du Connétable - Auberge du Jeu de Paume,"4 rue du Connétable, Chantilly, 60500, France",Chantilly,105,145,EUR,Modern,1 MICHELIN Star,125.0,138.7625, France
2998,Le Donjon - Domaine Saint-Clair,"Chemin de Saint-Clair, Etretat, 76790, France",Etretat,35,110,EUR,Modern,1 MICHELIN Star,72.5,80.48225, France
2999,Le Corot,"55 rue de Versailles, Ville-d'Avray, 92410, France",Ville-d'Avray,95,150,EUR,Creative,1 MICHELIN Star,122.5,135.98725, France
3000,Restaurant Pierre Grein,"180 avenue Régis-Ryckebush, Manosque, 04100, France",Manosque,100,150,EUR,Modern,1 MICHELIN Star,125.0,138.7625, France
